id,command,sudo,description
1,"sudo apt-get install ca-certificates curl",true,"Install CA certs and curl"
2,"sudo install -m 0755 -d /etc/apt/keyrings",true,"Create apt keyrings directory"
3,"sudo curl -fsSL https://download.docker.com/linux/ubuntu/gpg -o /etc/apt/keyrings/docker.asc",true,"Download Docker GPG key"
4,"sudo chmod a+r /etc/apt/keyrings/docker.asc",true,"Make Docker GPG key readable"
5,"echo ""deb [arch=$(dpkg --print-architecture) signed-by=/etc/apt/keyrings/docker.asc] https://download.docker.com/linux/ubuntu $(. /etc/os-release && echo ""${UBUNTU_CODENAME:-$VERSION_CODENAME}"") stable"" | sudo tee /etc/apt/sources.list.d/docker.list > /dev/null",true,"Add Docker apt repository"
6,"sudo apt-get update",true,"Update apt cache"
7,"sudo usermod -aG docker $USER",true,"Add current user to docker group"
8,"flatpak install com.freerdp.FreeRDP",false,"Install FreeRDP via Flatpak"
9,"sudo apt install direnv build-essential -y",true,"Install direnv and build tools"
10,"sh <(curl --proto '=https' --tlsv1.2 -L https://nixos.org/nix/install) --daemon",false,"Install Nix with daemon"
11,"volta install node@22",false,"Install Node.js 22 via Volta"
12,"volta install npx",false,"Install npx via Volta"
13,"curl -LsSf https://astral.sh/uv/install.sh | sh",false,"Install uv (Astral) runtime"
14,"curl https://get.volta.sh | bash",false,"Install Volta (node toolchain manager)"
15,"uv python install",false,"Install Python tool via uv"
16,"curl -fsSL https://tailscale.com/install.sh | sh",false,"Install Tailscale"
17,"curl -fsSL https://ollama.com/install.sh | sh",false,"Install Ollama"
18,"ollama signin",false,"Sign in to Ollama"
19,"ollama serve",false,"Start Ollama server"
20,"ollama run qwen3-coder:480b-cloud",false,"Run qwen3-coder model in Ollama"
21,"ollama run deepseek-v3.1:671b-cloud",false,"Run deepseek-v3.1 model in Ollama"
22,"ollama run gpt-oss:120b-cloud",false,"Run gpt-oss model in Ollama"
23,"nix-env -iA nixpkgs.typst",false,"Install typst via nix-env"
24,"nix-env -iA nixpkgs.miktex",false,"Install MiKTeX via nix-env"
25,"nix-channel --add https://github.com/nix-community/home-manager/archive/release-22.11.tar.gz home-manager",false,"Add home-manager channel (release 22.11)"
26,"nix-channel --add https://github.com/nix-community/home-manager/archive/master.tar.gz home-manager",false,"Add home-manager master channel"
27,"nix-channel --update",false,"Update nix channels"
28,"exit",false,"Exit shell/session"
29,"docker pull alpine",false,"Pull Alpine Docker image"
30,"sudo apt install steam-devices -y",true,"Install steam-devices"
31,"sudo apt install gh -y",true,"Install GitHub CLI"
32,"tldr ln",false,"Show tldr page for ln"
33,"man ln",false,"Show man page for ln"
